time1,time2,lyric
29,34,"Nagareteku toki no naka de demo kedarusa ga"
34,36,"hora guruguru mawatte"
36,39,"Watashi kara hanareru" 
39,43,"kokoro mo mienai wa sou shiranai"
43,45,"Jibun kara ugoku"
45,50,"koto mo naku toki no sukima ni nagasare tsuzukete"
50,53,"Shiranai wa mawari"
53,57,"no koto nado watashi wa watashi sore dake"
57,58,"Yume miteru?"
58,60,"Nani mo mitenai?"
60,63,"Kataru mo muda na jibun no kotoba"
63,67,"Kanashimu nante tsukareru dake yo"
67,70,"nani mo kanjizu sugoseba ii no"
70,74,"Tomadou kotoba ataerarete mo"
74,77,"jibun no kokoro tada uwa no sora"
77,81,"Moshi watashi kara ugoku no naraba"
81,84,"subete kaeru no nara kuro ni suru"
84,88,"Konna jibun ni mirai wa aru no?"
88,91,"Konna sekai ni watashi wa iru no?"
91,95,"Ima setsunai no? Ima kanashii no?"
95,98,"Jibun no koto mo wakaranai mama"
98,102,"Ayumu koto sae tsukareru dake yo"
102,105,"hito no koto nado shiri mo shinaiwa"
105,109,"Konna watashi mo kawareru no nara"
109,111,"moshi kawareru no nara shiro ni naru?"
126,131,"Nagareteku toki no naka de demo kedarusa ga"
131,133,"hora guruguru mawatte"
133,136,"Watashi kara hanareru"
136,140,"kokoro mo mienaiwa sou shiranai"
140,143,"Jibun kara ugoku"
143,147,"koto mo naku toki no sukima ni nagasare tsuzukete"
147,150,"Shiranai wa mawari no"
150,154,"koto nado watashi wa watashi sore dake"
154,157,"Yume miteru? Nani mo mitenai?"
157,161,"Kataru mo muda na jibun no kotoba"
161,164,"Kanashimu nante tsukareru dake yo"
164,168,"nani mo kanjizu sugoseba ii no"
168,171,"Tomadou kotoba ataerarete mo"
171,175,"jibun no kokoro tada uwa no sora"
175,178,"Moshi watashi kara ugoku no naraba"
178,182,"subete kaeru no nara kuro ni suru"
182,185,"Ugoku no naraba ugoku no naraba"
185,189,"subete kowasu wa subete kowasu wa"
189,192,"Kanashimu naraba kanashimu naraba"
192,196,"watashi no kokoro shiroku kawareru?"
196,199,"Anata no koto mo watashi no koto mo"
199,203,"subete no koto mo mada shiranai no"
203,206,"Omoi mabuta wo aketa no naraba"
206,210,"subete kowasu no nara kuro ni nare!"
